Year,Tourists,Country
2000,,France
2000,74580000,Spain
2000,62702000,Italy
2000,84515000,Poland
2000,37226000,Croatia
2000,31141000,Hungary
2000,25209000,United Kingdom
2000,,Denmark
2000,18983000,Germany
2000,,Czech Republic
2000,21169000,Russian Federation
2000,13567000,Greece
2000,11691000,Ukraine
2000,,Slovak Republic
2000,10003000,Netherlands
2000,12097000,Portugal
2000,10991000,Andorra
2000,7821000,Switzerland
2000,4922000,Bulgaria
2000,6646000,Ireland
2000,5264000,Romania
2000,6457000,Belgium
2000,3828000,Sweden
2000,2030000,Belarus
2000,1882000,Latvia
2000,3310000,Estonia
2000,4092000,Lithuania
2000,3104000,Norway
2000,2714000,Finland
2000,317000,Albania
2000,3071000,San Marino
2000,1090000,Slovenia
2000,1387000,Malta
2000,852000,Luxembourg
2000,328000,Iceland
2000,,Serbia
2000,171000,Bosnia and Herzegovina
2000,224000,North Macedonia
2000,300000,Monaco
2000,18000,Moldova
2000,61599.99847,Liechtenstein
2001,,France
2001,75564000,Spain
2001,60960000,Italy
2001,61431000,Poland
2001,40129000,Croatia
2001,30679000,Hungary
2001,22835000,United Kingdom
2001,,Denmark
2001,17861000,Germany
2001,,Czech Republic
2001,21595000,Russian Federation
2001,14678000,Greece
2001,11877000,Ukraine
2001,,Slovak Republic
2001,9500000,Netherlands
2001,12167000,Portugal
2001,11351000,Andorra
2001,7455000,Switzerland
2001,5104000,Bulgaria
2001,6353000,Ireland
2001,4938000,Romania
2001,6452000,Belgium
2001,4108000,Sweden
2001,1852000,Belarus
2001,2061000,Latvia
2001,3230000,Estonia
2001,4195000,Lithuania
2001,3073000,Norway
2001,2826000,Finland
2001,354000,Albania
2001,3036000,San Marino
2001,1219000,Slovenia
2001,1439000,Malta
2001,836000,Luxembourg
2001,329000,Iceland
2001,,Serbia
2001,139000,Bosnia and Herzegovina
2001,99000,North Macedonia
2001,270000,Monaco
2001,16000,Moldova
2001,56500,Liechtenstein
2002,,France
,79313000,Spain
,63561000,Italy
,50735000,Poland
,41737000,Croatia
,31739000,Hungary
,24180000,United Kingdom
,,Denmark
,17969000,Germany
,,Czech Republic
,23309000,Russian Federation
,14918000,Greece
,12793000,Ukraine
,,Slovak Republic
,9595000,Netherlands
,11644000,Portugal
,11507000,Andorra
,6868000,Switzerland
,5563000,Bulgaria
,6476000,Ireland
,4794000,Romania
,6720000,Belgium
,4276000,Sweden
,1907000,Belarus
,2297000,Latvia
,3253000,Estonia
,3999000,Lithuania
,3111000,Norway
,2875000,Finland
,470000,Albania
,3102000,San Marino
,1302000,Slovenia
,1483000,Malta
,885000,Luxembourg
,315000,Iceland
,312000,Serbia
,160000,Bosnia and Herzegovina
,123000,North Macedonia
,263000,Monaco
,18000,Moldova
,48700.00076,Liechtenstein
2003,,France
,82326000,Spain
,63026000,Italy
,52130000,Poland
,42857000,Croatia
,31412000,Hungary
,24715000,United Kingdom
